"tele_e","lag","estimate_e","lower_ci_e","upper_ci_e"
0.5,6,-1.409107152889,-2.22616296898239,-0.592051336795599
0.51,6,-1.36337544120104,-2.15105648451291,-0.575694397889162
0.52,6,-1.31764372951308,-2.07631700295672,-0.558970456069444
0.53,6,-1.27191201782512,-2.00198827147705,-0.541835764173192
0.54,6,-1.22618030613716,-1.92812049370242,-0.524240118571905
0.55,6,-1.1804485944492,-1.85477137187543,-0.506125817022974
0.56,6,-1.13471688276125,-1.78200729660688,-0.487426468915609
0.57,6,-1.08898517107329,-1.70990468439289,-0.468065657753689
0.58,6,-1.04325345938533,-1.63855144749683,-0.447955471273831
0.59,6,-0.997521747697372,-1.56804855490463,-0.426994940490113
0.6,6,-0.951790036009414,-1.49851160252987,-0.405068469488962
0.61,6,-0.906058324321456,-1.4300722509675,-0.382044397675415
0.62,6,-0.860326612633497,-1.36287930619248,-0.357773919074515
0.63,6,-0.814594900945539,-1.29709911310512,-0.332090688785963
0.64,6,-0.768863189257581,-1.23291481371766,-0.304811564797503
0.65,6,-0.723131477569622,-1.17052391831969,-0.275739036819557
0.66,6,-0.677399765881664,-1.11013360137471,-0.244665930388621
0.67,6,-0.631668054193706,-1.05195324211341,-0.211382866274001
0.68,6,-0.585936342505748,-0.996184068218935,-0.175688616792561
0.69,6,-0.54020463081779,-0.943006373843983,-0.137402887791596
0.7,6,-0.494472919129831,-0.892565599772166,-0.0963802384874963
0.71,6,-0.448741207441873,-0.844959343120965,-0.0525230717627809
0.72,6,-0.403009495753915,-0.800227735724074,-0.00579125578375567
0.73,6,-0.357277784065957,-0.758349273644718,0.0437937055128048
0.74,6,-0.311546072377998,-0.719243067467267,0.0961509227112708
0.75,6,-0.26581436069004,-0.682776985298856,0.151148263918776
0.76,6,-0.220082649002081,-0.648779874675962,0.208614576671799
0.77,6,-0.174350937314123,-0.617055446828373,0.268353572200127
0.78,6,-0.128619225626165,-0.587395581437996,0.330157130185666
0.79,6,-0.0828875139382067,-0.559591507023718,0.393816479147305
0.8,6,-0.0371558022502484,-0.533442150903239,0.459130546402742
0.81,6,0.00857590943771004,-0.508759642364914,0.525911461240334
0.82,6,0.0543076211256681,-0.485372373799556,0.593987616050892
0.83,6,0.100039332813626,-0.463126194496074,0.663204860123327
0.84,6,0.145771044501585,-0.441884310142188,0.733426399145357
0.85,6,0.191502756189543,-0.421526371174681,0.804531883553767
0.86,6,0.237234467877501,-0.401947115568346,0.876416051323347
0.87,6,0.282966179565459,-0.383054820628755,0.948987179759674
0.88,6,0.328697891253417,-0.364769728211988,1.02216551071882
0.89,6,0.374429602941376,-0.347022541180668,1.09588174706342
0.9,6,0.420161314629334,-0.329753042969942,1.17007567222861
0.91,6,0.465893026317292,-0.312908862273592,1.24469491490818
0.92,6,0.51162473800525,-0.296444386560145,1.31969386257065
0.93,6,0.557356449693208,-0.280319817693542,1.39503271707996
0.94,6,0.603088161381167,-0.264500357603537,1.47067668036587
0.95,6,0.648819873069125,-0.248955509790699,1.54659525592895
